"","LSOA_NAME","CLUSTER","CODE"
"1","Bath and North East Somerset 001A",1,"E01014399"
"2","Bath and North East Somerset 001B",1,"E01014400"
"3","Bath and North East Somerset 001C",1,"E01014401"
"4","Bath and North East Somerset 002A",1,"E01014402"
"5","Bath and North East Somerset 002B",2,"E01014403"
"6","Bath and North East Somerset 002C",1,"E01014404"
"7","Bath and North East Somerset 003A",1,"E01014395"
"8","Bath and North East Somerset 003B",1,"E01014396"
"9","Bath and North East Somerset 003C",3,"E01014397"
"10","Bath and North East Somerset 003D",3,"E01014398"
"11","Bath and North East Somerset 004A",2,"E01014409"
"12","Bath and North East Somerset 004B",3,"E01014410"
"13","Bath and North East Somerset 004C",3,"E01014411"
"14","Bath and North East Somerset 005A",3,"E01014477"
"15","Bath and North East Somerset 005B",3,"E01014478"
"16","Bath and North East Somerset 005C",3,"E01014479"
"17","Bath and North East Somerset 005D",2,"E01014480"
"18","Bath and North East Somerset 006A",4,"E01014465"
"19","Bath and North East Somerset 006B",2,"E01014466"
"20","Bath and North East Somerset 006C",2,"E01014467"
"21","Bath and North East Somerset 006D",2,"E01014468"
"22","Bath and North East Somerset 007A",4,"E01014370"
"23","Bath and North East Somerset 007B",4,"E01014371"
"24","Bath and North East Somerset 007C",4,"E01014372"
"25","Bath and North East Somerset 007D",1,"E01014412"
"26","Bath and North East Somerset 007E",1,"E01014413"
"27","Bath and North East Somerset 007F",4,"E01014414"
"28","Bath and North East Somerset 008A",2,"E01014427"
"29","Bath and North East Somerset 008B",1,"E01014428"
"30","Bath and North East Somerset 008C",1,"E01014429"
"31","Bath and North East Somerset 008D",1,"E01014430"
"32","Bath and North East Somerset 009A",1,"E01014405"
"33","Bath and North East Somerset 009C",2,"E01014407"
"34","Bath and North East Somerset 009E",4,"E01033080"
"35","Bath and North East Somerset 010A",1,"E01014373"
"36","Bath and North East Somerset 010B",1,"E01014374"
"37","Bath and North East Somerset 010C",5,"E01014375"
"38","Bath and North East Somerset 010D",1,"E01014376"
"39","Bath and North East Somerset 010E",1,"E01014377"
"40","Bath and North East Somerset 010G",5,"E01033078"
"41","Bath and North East Somerset 010H",5,"E01033079"
"42","Bath and North East Somerset 011A",1,"E01014461"
"43","Bath and North East Somerset 011B",1,"E01014462"
"44","Bath and North East Somerset 011C",1,"E01014463"
"45","Bath and North East Somerset 011D",2,"E01014464"
"46","Bath and North East Somerset 012A",6,"E01014380"
"47","Bath and North East Somerset 012B",1,"E01014381"
"48","Bath and North East Somerset 012C",2,"E01014481"
"49","Bath and North East Somerset 012D",1,"E01014482"
"50","Bath and North East Somerset 012E",1,"E01014483"
"51","Bath and North East Somerset 012F",1,"E01014484"
"52","Bath and North East Somerset 013A",2,"E01014473"
"53","Bath and North East Somerset 013B",2,"E01014474"
"54","Bath and North East Somerset 013C",2,"E01014475"
"55","Bath and North East Somerset 013D",2,"E01014476"
"56","Bath and North East Somerset 014A",2,"E01014435"
"57","Bath and North East Somerset 014B",2,"E01014436"
"58","Bath and North East Somerset 014C",3,"E01014437"
"59","Bath and North East Somerset 014D",2,"E01014438"
"60","Bath and North East Somerset 015A",3,"E01014455"
"61","Bath and North East Somerset 015B",1,"E01014456"
"62","Bath and North East Somerset 015C",1,"E01014457"
"63","Bath and North East Somerset 015D",1,"E01014458"
"64","Bath and North East Somerset 016A",5,"E01014391"
"65","Bath and North East Somerset 016B",5,"E01014392"
"66","Bath and North East Somerset 016C",1,"E01014452"
"67","Bath and North East Somerset 016D",1,"E01014453"
"68","Bath and North East Somerset 016E",1,"E01014454"
"69","Bath and North East Somerset 016F",1,"E01014459"
"70","Bath and North East Somerset 016G",1,"E01014460"
"71","Bath and North East Somerset 017A",2,"E01014415"
"72","Bath and North East Somerset 017B",1,"E01014416"
"73","Bath and North East Somerset 017C",1,"E01014417"
"74","Bath and North East Somerset 018A",1,"E01014387"
"75","Bath and North East Somerset 018B",1,"E01014388"
"76","Bath and North East Somerset 018C",1,"E01014389"
"77","Bath and North East Somerset 018D",2,"E01014390"
"78","Bath and North East Somerset 019A",1,"E01014431"
"79","Bath and North East Somerset 019B",1,"E01014432"
"80","Bath and North East Somerset 019C",1,"E01014433"
"81","Bath and North East Somerset 019D",1,"E01014434"
"82","Bath and North East Somerset 020A",5,"E01014385"
"83","Bath and North East Somerset 020B",3,"E01014386"
"84","Bath and North East Somerset 020C",3,"E01014419"
"85","Bath and North East Somerset 020D",1,"E01014446"
"86","Bath and North East Somerset 020E",1,"E01014447"
"87","Bath and North East Somerset 021A",5,"E01014382"
"88","Bath and North East Somerset 021B",5,"E01014383"
"89","Bath and North East Somerset 021C",1,"E01014384"
"90","Bath and North East Somerset 021D",5,"E01014418"
"91","Bath and North East Somerset 022A",5,"E01014379"
"92","Bath and North East Somerset 022B",1,"E01014442"
"93","Bath and North East Somerset 022C",1,"E01014443"
"94","Bath and North East Somerset 022D",1,"E01014444"
"95","Bath and North East Somerset 022E",1,"E01014445"
"96","Bath and North East Somerset 023A",1,"E01014393"
"97","Bath and North East Somerset 023B",1,"E01014394"
"98","Bath and North East Somerset 023C",1,"E01014439"
"99","Bath and North East Somerset 023D",1,"E01014440"
"100","Bath and North East Somerset 023E",1,"E01014441"
"101","Bath and North East Somerset 024A",3,"E01014448"
"102","Bath and North East Somerset 024B",1,"E01014449"
"103","Bath and North East Somerset 024C",1,"E01014450"
"104","Bath and North East Somerset 024D",1,"E01014451"
"105","Bath and North East Somerset 025A",1,"E01014420"
"106","Bath and North East Somerset 025B",1,"E01014421"
"107","Bath and North East Somerset 025C",3,"E01014422"
"108","Bath and North East Somerset 025D",1,"E01014423"
"109","Bath and North East Somerset 026A",3,"E01014469"
"110","Bath and North East Somerset 026B",3,"E01014470"
"111","Bath and North East Somerset 026C",1,"E01014471"
"112","Bath and North East Somerset 026D",1,"E01014472"
"113","Bath and North East Somerset 027A",1,"E01014424"
"114","Bath and North East Somerset 027B",1,"E01014425"
"115","Bath and North East Somerset 027C",1,"E01014426"
