Region Name,Name,Latitude,Longitude
East Midlands,Derby,52.92277,-1.47663
East Midlands,Leicester,52.6386,-1.13169
East Midlands,Lincoln,53.22683,-0.53792
East Midlands,Nottingham,52.9536,-1.15047
East Midlands,Northampton,52.25,-0.88333
East of England,Cambridge,52.2, 0.11667
East of England,Chelmsford,51.73575,0.46958
East of England,Norwich,52.62783,1.29834
East of England,Peterbotough,52.573921,-0.25083
East of England,St Albans,51.75,-0.33333
Greater London,London,51.50853,-0.12574
North East ,Durham,54.77676,-1.57566
North East ,Newcastle,54.97328,-1.61396
North East ,Sunderland,54.90465,-1.38222
North West,Carlisle,54.8951,-2.9382
North West,Chester,53.1905,-2.89189
North West,Lancaster,54.04649,-2.79988
North West,Liverpool,53.41058,-2.97794
North West,Manchester,53.48095,-2.23743
North West,Preston,53.76667,-2.71667
South East,Brighton,50.82838,-0.13947
South East,Oxford,51.752022,-1.257677
South East,Portsmouth,50.79899,-1.09125
South East,Southampton,50.90395,-1.40428
South East,Winchester,51.06513,-1.3187
South East,Reading,51.45625,-0.97113
South West,Bath,51.3751,-2.36172
South West,Bristol,51.45523,-2.59665
South West,Exeter,50.7236,-3.52751
South West,Gloucester,51.86568,-2.2431
South West,Plymouth,50.376289,-4.143841
South West,Salisbury,51.068787,-1.794472
South West,Swindon,51.568535,-1.772232
South West,Truro,50.26526,-5.05436
South West,Bournemouth,50.72048,-1.8795
West Midlands,Birmingham,52.489471,-1.898575
West Midlands,Coventry,52.40656,-1.51217
West Midlands,Hereford,52.05684,-2.71482
West Midlands,Stoke-on-Trent,53.002666,-2.179404
West Midlands,Worcester,52.18935,-2.22001
Yorkshire and the Humber,Leeds,53.79648,-1.54785
Yorkshire and the Humber,Sheffield,53.38297,-1.4659
Yorkshire and the Humber,York,53.95763,-1.08271
