Region Name,Name,Latitude,Longitude
South West,Bathampton,51.39524,-2.32279
South West,Batheaston,51.40662,-2.31042
South West,Corston,51.385,-2.44028
South West,Farmborough,51.3439,-2.48778
South West,Chew Magna,51.36611,-2.61028
South West,Chew Stoke,51.35365,-2.63266
South West,Bishop Sutton,51.33444,-2.59472
South West,West Harptree,51.3091,-2.63175
South West,Clutton,51.32944,-2.54306
South West,Paulton,51.30472,-2.50028
South West,Timsbury,51.32444,-2.47917
South West,Pensford,51.37111,-2.54722
South West,Peasedown St John,51.31667,-2.42417
South West,Wellow,51.32444,-2.37417
South West,Midford,51.34585,-2.34646
South West,Marksbury,51.35962,-2.48025
South West,Saltford,51.40139,-2.45944
South West,South Stoke,51.3502,-2.3647
